,가설1번_infected_average.csv,가설2번_infected_average.csv,가설3번_infected_average.csv,가설4번_infected_average.csv,대조군_infected_average.csv
0,1.0636363636363635,1.043859649122807,1.0530973451327434,1.0636363636363635,1.0413223140495869
1,2.772727272727273,5.412280701754386,3.5132743362831858,3.8272727272727267,3.9917355371900825
2,4.5181818181818185,11.605263157894735,6.0353982300884965,7.154545454545453,7.272727272727272
3,7.545454545454546,22.350877192982455,10.283185840707963,12.0,12.818181818181818
4,11.78181818181818,39.92105263157895,16.398230088495573,19.33636363636364,20.677685950413228
5,17.318181818181817,69.17543859649122,24.56637168141593,29.00909090909091,31.826446280991732
6,23.95454545454545,114.92105263157896,36.73451327433628,43.82727272727273,48.85123966942149
7,33.50909090909091,184.70175438596488,55.06194690265487,64.9,75.80165289256199
8,46.26363636363637,286.03508771929825,79.05309734513273,93.6818181818182,115.0
9,62.99090909090909,419.38596491228066,112.3008849557522,133.24545454545455,170.7685950413223
10,86.67272727272726,572.8333333333334,156.38938053097343,186.2090909090909,248.0330578512397
11,120.94545454545455,724.561403508772,213.0353982300885,255.3090909090909,344.22314049586777
12,160.5818181818182,851.59649122807,287.0530973451328,339.03636363636366,459.59504132231405
13,206.71818181818185,937.7631578947368,378.070796460177,438.1272727272727,587.8512396694215
14,257.1090909090909,990.8070175438595,482.4601769911504,545.5818181818181,713.595041322314
15,307.7181818181818,1024.921052631579,595.8495575221239,654.8363636363638,824.6280991735538
16,379.7636363636364,1041.1052631578948,705.9823008849557,756.7909090909089,913.3636363636364
17,442.1636363636364,1047.2105263157894,807.0265486725664,844.0818181818182,975.5289256198347
18,499.77272727272725,1049.2280701754387,889.9380530973451,911.6909090909093,1012.99173553719
19,550.6818181818181,1049.7894736842106,951.787610619469,961.5090909090907,1033.5371900826449
20,594.5909090909091,1049.9561403508771,995.4690265486727,995.1090909090907,1043.1570247933885
21,684.2,1050.0,1022.2743362831857,1017.1272727272728,1047.6033057851241
22,735.2090909090911,1050.0,1036.7787610619466,1031.3545454545454,1049.2561983471073
23,770.5545454545454,1050.0,1044.0619469026547,1039.8909090909092,1049.809917355372
24,797.3090909090909,1050.0,1047.6371681415926,1044.6,1049.9421487603306
25,819.7545454545455,1050.0,1049.3185840707963,1047.209090909091,1049.9669421487604
26,892.1,1050.0,1049.7433628318583,1048.7363636363636,1049.9669421487604
27,928.1454545454544,1050.0,1049.9203539823006,1049.4909090909089,1049.9669421487604
