,0
0,1.0
1,2.8333333333333335
2,4.766666666666667
3,7.9
4,11.733333333333333
5,17.033333333333335
6,23.133333333333333
7,32.7
8,45.166666666666664
9,60.9
10,82.1
11,114.16666666666667
12,155.53333333333333
13,201.96666666666667
14,256.43333333333334
15,311.1666666666667
16,382.46666666666664
17,447.8333333333333
18,508.23333333333335
19,560.1333333333333
20,609.9666666666667
21,706.5666666666667
22,761.7
23,797.9
24,823.8
25,844.2
26,917.1
27,949.0666666666667
28,968.4333333333333
29,978.9333333333333
30,986.3666666666667
31,1012.7333333333333
32,1024.9333333333334
33,1030.6
34,1034.0666666666666
35,1036.1666666666667
36,1042.9
37,1044.9
38,1045.5333333333333
39,1045.9
40,1045.9666666666667
41,1048.1
42,1048.8666666666666
