,0
0,1.0636363636363637
1,2.772727272727273
2,4.5181818181818185
3,7.545454545454546
4,11.781818181818181
5,17.318181818181817
6,23.954545454545453
7,33.50909090909091
8,46.263636363636365
9,62.99090909090909
10,86.67272727272727
11,120.94545454545455
12,160.5818181818182
13,206.71818181818182
14,257.1090909090909
15,307.7181818181818
16,379.76363636363635
17,442.1636363636364
18,499.77272727272725
19,550.6818181818181
20,594.5909090909091
21,684.2
22,735.209090909091
23,770.5545454545454
24,797.3090909090909
25,819.7545454545455
26,892.1
27,928.1454545454545
28,947.8272727272728
29,959.5090909090909
30,967.5636363636364
31,998.3545454545455
32,1014.3727272727273
33,1023.5363636363636
34,1028.6727272727273
35,1032.1
36,1038.8636363636363
37,1041.0545454545454
38,1041.7181818181818
39,1041.9818181818182
40,1042.209090909091
41,1046.7363636363636
42,1048.3272727272727
