,0
0,1.043859649122807
1,5.412280701754386
2,11.605263157894736
3,22.350877192982455
4,39.921052631578945
5,69.17543859649123
6,114.92105263157895
7,184.7017543859649
8,286.03508771929825
9,419.3859649122807
10,572.8333333333334
11,724.561403508772
12,851.5964912280701
13,937.7631578947369
14,990.8070175438596
15,1024.921052631579
16,1041.1052631578948
17,1047.2105263157894
18,1049.2280701754387
19,1049.7894736842106
20,1049.9561403508771
21,1050.0
22,1050.0
23,1050.0
24,1050.0
25,1050.0
26,1050.0
27,1050.0
