step,S,I,R,E,걸린시간

991,6,0,53,944,18.7688045501709
960,9,0,81,912,18.240240573883057
975,4,0,71,869,17.516154289245605
995,7,0,48,880,17.881682634353638
1033,2,0,15,992,21.179863929748535
978,4,0,68,958,19.087950944900513
1005,4,0,41,908,18.1125590801239
981,8,0,61,949,19.56369113922119
968,4,0,78,840,17.243882417678833
1003,4,0,43,1037,20.64179539680481
983,7,0,60,893,17.851258039474487
1017,4,0,29,938,18.788750886917114
996,4,0,50,949,19.012152910232544
954,8,0,88,871,19.922812700271606
